epoch,train_loss,val_metric,lr,is_best
1,0.568370,0.549948,0.00002000,True
2,0.561587,0.426036,0.00003000,False
3,0.561221,0.570745,0.00004000,True
4,0.559158,0.490602,0.00005000,False
5,0.559381,0.602854,0.00005000,True
6,0.556786,0.553690,0.00004999,False
7,0.560694,0.522189,0.00004995,False
8,0.558228,0.530195,0.00004988,False
9,0.555433,0.581274,0.00004978,False
10,0.557962,0.628698,0.00004966,True
11,0.556277,0.593021,0.00004951,False
12,0.556337,0.585973,0.00004933,False
13,0.556343,0.610947,0.00004913,False
14,0.556737,0.671511,0.00004890,True
15,0.554429,0.597894,0.00004865,False
16,0.555987,0.606422,0.00004836,False
17,0.557409,0.629481,0.00004806,False
18,0.554662,0.588148,0.00004773,False
19,0.553344,0.568569,0.00004737,False
20,0.556605,0.592760,0.00004699,False
21,0.554909,0.578228,0.00004658,False
22,0.554544,0.642099,0.00004615,False
23,0.554078,0.586408,0.00004570,False
24,0.554856,0.549426,0.00004523,False
25,0.555267,0.528368,0.00004473,False
26,0.554292,0.583536,0.00004421,False
27,0.554143,0.566220,0.00004367,False
28,0.554215,0.623303,0.00004311,False
29,0.553555,0.612426,0.00004253,False
30,0.555194,0.607031,0.00004193,False
31,0.553994,0.601375,0.00004131,False
32,0.551622,0.602593,0.00004068,False
33,0.553762,0.590063,0.00004003,False
34,0.553555,0.574748,0.00003936,False
35,0.555553,0.599983,0.00003867,False
36,0.556107,0.645405,0.00003797,False
37,0.553333,0.631483,0.00003726,False
38,0.555993,0.633484,0.00003653,False
39,0.554763,0.624260,0.00003579,False
40,0.552742,0.654803,0.00003504,False
41,0.554486,0.667682,0.00003428,False
42,0.554007,0.697181,0.00003351,True
43,0.554124,0.668030,0.00003273,False
44,0.554980,0.635486,0.00003194,False
45,0.555424,0.642186,0.00003114,False
46,0.554468,0.619822,0.00003033,False
47,0.553318,0.646885,0.00002952,False
48,0.554858,0.643491,0.00002871,False
49,0.552319,0.671337,0.00002789,False
50,0.553256,0.667943,0.00002706,False
51,0.552269,0.632005,0.00002624,False
52,0.552902,0.631918,0.00002541,False
53,0.552811,0.611121,0.00002459,False
54,0.553773,0.625218,0.00002376,False
55,0.555282,0.651149,0.00002294,False
56,0.553329,0.651497,0.00002211,False
57,0.554143,0.664288,0.00002129,False
58,0.555486,0.669161,0.00002048,False
59,0.554982,0.670640,0.00001967,False
60,0.554705,0.675774,0.00001886,False
61,0.554928,0.720240,0.00001806,True
62,0.555657,0.718065,0.00001727,False
63,0.553622,0.744692,0.00001649,True
64,0.555471,0.711538,0.00001572,False
65,0.554042,0.715889,0.00001496,False
66,0.554502,0.733989,0.00001421,False
67,0.554873,0.700139,0.00001347,False
68,0.553695,0.701619,0.00001274,False
69,0.552197,0.714149,0.00001203,False
70,0.553379,0.717978,0.00001133,False
71,0.554033,0.723112,0.00001064,False
72,0.554490,0.726940,0.00000997,False
73,0.554192,0.721632,0.00000932,False
74,0.553707,0.698573,0.00000869,False
75,0.552773,0.696223,0.00000807,False
76,0.554229,0.692830,0.00000747,False
77,0.554462,0.697355,0.00000689,False
78,0.552234,0.695875,0.00000633,False
79,0.553525,0.694048,0.00000579,False
80,0.553233,0.694570,0.00000527,False
81,0.553075,0.690654,0.00000477,False
82,0.554444,0.693613,0.00000430,False
83,0.553746,0.695701,0.00000385,False
84,0.553075,0.700574,0.00000342,False
85,0.553438,0.704751,0.00000301,False
86,0.551469,0.703098,0.00000263,False
87,0.554187,0.706666,0.00000227,False
88,0.551603,0.709450,0.00000194,False
89,0.554176,0.707101,0.00000164,False
90,0.553725,0.708058,0.00000135,False
91,0.552532,0.705360,0.00000110,False
92,0.553646,0.708406,0.00000087,False
93,0.552694,0.708580,0.00000067,False
94,0.553988,0.708406,0.00000049,False
95,0.553044,0.710059,0.00000034,False
96,0.552614,0.709972,0.00000022,False
97,0.552578,0.709711,0.00000012,False
98,0.554082,0.708841,0.00000005,False
99,0.552314,0.709450,0.00000001,False
100,0.554688,0.708841,0.00000000,False
