epoch,train_loss,val_metric,lr,is_best
1,6.976709,2.122681,0.00000800,True
2,4.510813,1.950083,0.00001200,True
3,4.408429,1.973590,0.00001600,False
4,4.452791,2.087736,0.00002000,False
5,4.684590,1.966120,0.00002000,False
6,4.370035,1.943988,0.00002000,True
7,4.441134,1.974961,0.00002000,False
8,4.406742,1.938573,0.00002000,True
9,4.470350,1.940116,0.00001999,False
10,4.447954,1.932114,0.00001999,True
11,4.365331,1.932649,0.00001999,False
12,4.464317,1.938411,0.00001998,False
13,4.417772,1.925371,0.00001998,True
14,4.407320,1.951961,0.00001997,False
15,4.501498,1.933753,0.00001997,False
16,4.437055,1.938930,0.00001996,False
17,4.446868,1.981636,0.00001995,False
18,4.359961,1.926764,0.00001995,False
19,4.534776,1.934382,0.00001994,False
20,4.690714,1.944726,0.00001993,False
21,4.473055,1.929527,0.00001992,False
22,4.426742,1.951364,0.00001991,False
23,4.453103,1.931278,0.00001990,False
24,4.366208,1.961729,0.00001989,False
25,4.413388,1.939655,0.00001987,False
26,4.390680,2.033244,0.00001986,False
27,4.470884,1.928891,0.00001985,False
28,4.461866,1.929556,0.00001983,False
29,4.542019,1.952674,0.00001982,False
30,4.450190,1.928115,0.00001980,False
31,4.441734,1.935379,0.00001979,False
32,4.424685,1.960666,0.00001977,False
33,4.547334,1.935347,0.00001975,False
34,4.488219,1.892932,0.00001974,True
35,4.318495,1.933756,0.00001972,False
36,3.923954,1.808099,0.00001970,True
37,3.554927,1.744346,0.00001968,True
38,3.757853,1.811078,0.00001966,False
39,3.109236,1.640450,0.00001964,True
40,3.137375,1.849587,0.00001962,False
41,2.848410,1.853597,0.00001959,False
42,2.866119,1.619205,0.00001957,True
43,2.818450,1.771064,0.00001955,False
44,2.607649,1.511848,0.00001952,True
45,2.646038,1.552451,0.00001950,False
46,3.317082,1.470508,0.00001947,True
47,2.622876,1.399399,0.00001945,True
48,2.600529,1.446844,0.00001942,False
49,2.774196,1.426219,0.00001939,False
50,2.569638,1.533072,0.00001937,False
51,2.558998,1.395189,0.00001934,True
52,2.502496,1.397867,0.00001931,False
53,2.515847,1.388601,0.00001928,True
54,2.459448,1.420491,0.00001925,False
55,2.507090,1.496234,0.00001922,False
56,2.506036,1.503638,0.00001919,False
57,2.524904,1.525121,0.00001916,False
58,2.602600,1.431814,0.00001912,False
59,2.378234,1.401938,0.00001909,False
60,2.501542,1.392428,0.00001906,False
61,2.353303,1.410871,0.00001902,False
62,2.413925,1.397780,0.00001899,False
63,2.554906,1.426587,0.00001895,False
64,2.533324,1.549408,0.00001892,False
65,2.556116,1.543626,0.00001888,False
66,2.491100,1.516590,0.00001885,False
67,2.442158,1.400613,0.00001881,False
68,2.376188,1.532309,0.00001877,False
69,2.425113,1.464929,0.00001873,False
70,2.393757,1.587717,0.00001869,False
71,2.547641,1.376104,0.00001865,True
72,2.509943,1.363522,0.00001861,True
73,2.363889,1.375609,0.00001857,False
74,2.424401,1.344172,0.00001853,True
75,2.390555,1.555302,0.00001849,False
76,2.426772,1.373707,0.00001845,False
77,2.196810,1.398486,0.00001840,False
78,2.231178,1.574576,0.00001836,False
79,2.455075,1.378461,0.00001832,False
80,2.253289,1.384087,0.00001827,False
81,2.205861,1.376965,0.00001823,False
82,2.371000,1.622736,0.00001818,False
83,2.199243,1.457918,0.00001814,False
84,2.322776,1.540312,0.00001809,False
85,2.147946,1.470870,0.00001804,False
86,2.031113,1.360557,0.00001800,False
87,2.012159,1.468975,0.00001795,False
88,2.133824,1.457330,0.00001790,False
89,2.054341,1.500225,0.00001785,False
90,2.033567,1.386948,0.00001780,False
91,1.896499,1.269198,0.00001775,True
92,1.994003,1.349202,0.00001770,False
93,1.902589,1.458567,0.00001765,False
94,1.783788,1.279918,0.00001760,False
95,1.740833,1.455220,0.00001755,False
96,1.857777,1.309899,0.00001749,False
97,1.856545,1.238661,0.00001744,True
98,1.767351,1.282552,0.00001739,False
99,1.673364,1.341549,0.00001733,False
100,1.646722,1.351814,0.00001728,False
101,1.871946,1.483955,0.00001722,False
102,1.958598,1.310347,0.00001717,False
103,1.614384,1.287818,0.00001711,False
104,1.734425,1.495070,0.00001706,False
105,1.833135,1.253819,0.00001700,False
106,1.608037,1.251512,0.00001694,False
107,1.968653,1.201662,0.00001689,True
108,1.732475,1.200591,0.00001683,True
109,1.716293,1.282418,0.00001677,False
110,1.607658,1.288100,0.00001671,False
111,1.612398,1.221802,0.00001665,False
112,1.554679,1.501463,0.00001659,False
113,1.586764,1.188117,0.00001653,True
114,1.653578,1.319158,0.00001647,False
115,1.619134,1.349176,0.00001641,False
116,1.590605,1.227168,0.00001635,False
117,1.526059,1.302017,0.00001629,False
118,1.572581,1.235491,0.00001623,False
119,1.460670,1.217534,0.00001616,False
120,1.353380,1.232948,0.00001610,False
121,1.384321,1.182493,0.00001604,True
122,1.392395,1.228653,0.00001597,False
123,1.425138,1.361833,0.00001591,False
124,1.524910,1.435243,0.00001585,False
125,1.458298,1.707125,0.00001578,False
126,1.475381,1.209833,0.00001572,False
127,1.400914,1.298425,0.00001565,False
128,1.397007,1.220085,0.00001558,False
129,1.278482,1.497591,0.00001552,False
130,1.442294,1.305617,0.00001545,False
131,1.324337,1.196665,0.00001539,False
132,1.349404,1.150881,0.00001532,True
133,1.439188,1.141763,0.00001525,True
134,1.433175,1.261792,0.00001518,False
135,1.292001,1.245674,0.00001511,False
136,1.276514,1.190448,0.00001505,False
137,1.272533,1.276257,0.00001498,False
138,1.254099,1.257931,0.00001491,False
139,1.180105,1.149376,0.00001484,False
140,1.225238,1.213018,0.00001477,False
141,1.200703,1.272998,0.00001470,False
142,1.233971,1.151195,0.00001463,False
143,1.258159,1.153146,0.00001456,False
144,1.358226,1.214765,0.00001449,False
145,1.440658,1.166991,0.00001442,False
146,1.178815,1.122533,0.00001434,True
147,1.202979,1.217867,0.00001427,False
148,1.274087,1.394994,0.00001420,False
149,1.299817,1.227649,0.00001413,False
150,1.142279,1.241880,0.00001406,False
151,1.142584,1.331477,0.00001398,False
152,1.169510,1.137294,0.00001391,False
153,1.185036,1.175771,0.00001384,False
154,1.246833,1.134077,0.00001376,False
155,1.149995,1.149695,0.00001369,False
156,1.166507,1.158139,0.00001361,False
157,1.051034,1.306248,0.00001354,False
158,1.182747,1.326995,0.00001347,False
159,1.070561,1.255296,0.00001339,False
160,1.145550,1.443409,0.00001332,False
161,1.167752,1.092597,0.00001324,True
162,1.102115,1.224458,0.00001317,False
163,1.063099,1.246778,0.00001309,False
164,1.056963,1.120085,0.00001301,False
165,1.187638,1.160376,0.00001294,False
166,1.016444,1.237029,0.00001286,False
167,1.016647,1.273807,0.00001279,False
168,1.211760,1.269673,0.00001271,False
169,1.111856,1.172132,0.00001263,False
170,1.045770,1.310727,0.00001256,False
171,1.102103,1.147123,0.00001248,False
172,1.080509,1.186832,0.00001240,False
173,1.075081,1.125987,0.00001232,False
174,1.045352,1.242548,0.00001225,False
175,1.107811,1.185144,0.00001217,False
176,0.954324,1.128145,0.00001209,False
177,0.993227,1.298299,0.00001201,False
178,1.055629,1.205469,0.00001194,False
179,1.032749,1.184614,0.00001186,False
180,1.014741,1.301945,0.00001178,False
181,1.032462,1.106928,0.00001170,False
182,0.992979,1.162735,0.00001162,False
183,0.977688,1.106670,0.00001154,False
184,0.984283,1.094249,0.00001147,False
185,0.934660,1.067622,0.00001139,True
186,1.008454,1.148033,0.00001131,False
187,0.947811,1.064786,0.00001123,True
188,0.907489,1.087307,0.00001115,False
189,0.927454,1.231283,0.00001107,False
190,1.001151,1.054030,0.00001099,True
191,0.945331,1.102805,0.00001091,False
192,0.900404,1.141084,0.00001083,False
193,0.920321,1.167696,0.00001075,False
194,1.023862,1.063603,0.00001068,False
195,1.021002,1.185823,0.00001060,False
196,0.940380,1.177143,0.00001052,False
197,0.955764,1.153373,0.00001044,False
198,1.009947,1.112083,0.00001036,False
199,0.850257,1.125970,0.00001028,False
200,0.883246,1.133765,0.00001020,False
201,0.812097,1.092321,0.00001012,False
202,0.866566,1.067585,0.00001004,False
203,0.937922,1.145045,0.00000996,False
204,0.933526,1.092968,0.00000988,False
205,0.842110,1.050454,0.00000980,True
206,0.947502,1.121160,0.00000972,False
207,0.827445,1.084184,0.00000964,False
208,0.838921,1.075012,0.00000956,False
209,0.816169,1.171705,0.00000948,False
210,0.862582,1.036609,0.00000940,True
211,0.824612,1.056665,0.00000932,False
212,0.887967,1.039321,0.00000925,False
213,0.843649,1.061541,0.00000917,False
214,0.784388,1.035495,0.00000909,True
215,0.822480,1.057314,0.00000901,False
216,0.803221,1.087664,0.00000893,False
217,0.903456,1.042819,0.00000885,False
218,0.904268,1.061654,0.00000877,False
219,0.847327,1.111052,0.00000869,False
220,0.852800,1.072176,0.00000861,False
221,0.851848,1.049452,0.00000853,False
222,0.801983,1.065943,0.00000846,False
223,0.825210,1.069299,0.00000838,False
224,0.893788,1.035498,0.00000830,False
225,0.837042,1.160220,0.00000822,False
226,0.957835,1.140092,0.00000814,False
227,0.849003,1.148196,0.00000806,False
228,0.816759,1.058723,0.00000799,False
229,0.784241,1.050435,0.00000791,False
230,0.794168,1.108547,0.00000783,False
231,0.843289,1.060676,0.00000775,False
232,0.765454,1.093207,0.00000768,False
233,0.776042,1.095943,0.00000760,False
234,0.735878,1.047810,0.00000752,False
235,0.732530,1.056879,0.00000744,False
236,0.761478,1.082443,0.00000737,False
237,0.748741,0.997107,0.00000729,True
238,0.797387,1.044814,0.00000721,False
239,0.829990,1.010531,0.00000714,False
240,0.779472,1.055154,0.00000706,False
241,0.748305,1.045425,0.00000699,False
242,0.735496,1.006574,0.00000691,False
243,0.687590,1.048391,0.00000683,False
244,0.719295,0.983441,0.00000676,True
245,0.714685,1.008443,0.00000668,False
246,0.791499,0.993653,0.00000661,False
247,0.718589,0.963964,0.00000653,True
248,0.738428,1.072143,0.00000646,False
249,0.713077,1.074674,0.00000639,False
250,0.728661,1.127285,0.00000631,False
251,0.727369,1.079736,0.00000624,False
252,0.716192,1.021835,0.00000616,False
253,0.706459,1.008410,0.00000609,False
